,month,class,year,day
0,1,112,1949,1
1,2,118,1949,1
2,3,132,1949,1
3,4,129,1949,1
4,5,121,1949,1
5,6,135,1949,1
6,7,148,1949,1
7,8,148,1949,1
8,9,136,1949,1
9,10,119,1949,1
10,11,104,1949,1
11,12,118,1949,1
12,1,115,1950,1
13,2,126,1950,1
14,3,141,1950,1
15,4,135,1950,1
16,5,125,1950,1
17,6,149,1950,1
18,7,170,1950,1
19,8,170,1950,1
20,9,158,1950,1
21,10,133,1950,1
22,11,114,1950,1
23,12,140,1950,1
24,1,145,1951,1
25,2,150,1951,1
26,3,178,1951,1
27,4,163,1951,1
28,5,172,1951,1
29,6,178,1951,1
30,7,199,1951,1
31,8,199,1951,1
32,9,184,1951,1
33,10,162,1951,1
34,11,146,1951,1
35,12,166,1951,1
36,1,171,1952,1
37,2,180,1952,1
38,3,193,1952,1
39,4,181,1952,1
40,5,183,1952,1
41,6,218,1952,1
42,7,230,1952,1
43,8,242,1952,1
44,9,209,1952,1
45,10,191,1952,1
46,11,172,1952,1
47,12,194,1952,1
48,1,196,1953,1
49,2,196,1953,1
50,3,236,1953,1
51,4,235,1953,1
52,5,229,1953,1
53,6,243,1953,1
54,7,264,1953,1
55,8,272,1953,1
56,9,237,1953,1
57,10,211,1953,1
58,11,180,1953,1
59,12,201,1953,1
60,1,204,1954,1
61,2,188,1954,1
62,3,235,1954,1
63,4,227,1954,1
64,5,234,1954,1
65,6,264,1954,1
66,7,302,1954,1
67,8,293,1954,1
68,9,259,1954,1
69,10,229,1954,1
70,11,203,1954,1
71,12,229,1954,1
72,1,242,1955,1
73,2,233,1955,1
74,3,267,1955,1
75,4,269,1955,1
76,5,270,1955,1
77,6,315,1955,1
78,7,364,1955,1
79,8,347,1955,1
80,9,312,1955,1
81,10,274,1955,1
82,11,237,1955,1
83,12,278,1955,1
84,1,284,1956,1
85,2,277,1956,1
86,3,317,1956,1
87,4,313,1956,1
88,5,318,1956,1
89,6,374,1956,1
90,7,413,1956,1
91,8,405,1956,1
92,9,355,1956,1
93,10,306,1956,1
94,11,271,1956,1
95,12,306,1956,1
96,1,315,1957,1
97,2,301,1957,1
98,3,356,1957,1
99,4,348,1957,1
100,5,355,1957,1
101,6,422,1957,1
102,7,465,1957,1
103,8,467,1957,1
104,9,404,1957,1
105,10,347,1957,1
106,11,305,1957,1
107,12,336,1957,1
108,1,340,1958,1
109,2,318,1958,1
110,3,362,1958,1
111,4,348,1958,1
112,5,363,1958,1
113,6,435,1958,1
114,7,491,1958,1
115,8,505,1958,1
116,9,404,1958,1
117,10,359,1958,1
118,11,310,1958,1
119,12,337,1958,1
120,1,360,1959,1
121,2,342,1959,1
122,3,406,1959,1
123,4,396,1959,1
124,5,420,1959,1
125,6,472,1959,1
126,7,548,1959,1
127,8,559,1959,1
128,9,463,1959,1
129,10,407,1959,1
130,11,362,1959,1
131,12,405,1959,1
132,1,417,1960,1
133,2,391,1960,1
134,3,419,1960,1
135,4,461,1960,1
136,5,472,1960,1
137,6,535,1960,1
138,7,622,1960,1
139,8,606,1960,1
140,9,508,1960,1
141,10,461,1960,1
142,11,390,1960,1
143,12,432,1960,1
